index,nome_feature,coeficiente,p_valor,nome_original_feature,calculo_score,score_preliminar,diferenca,score_final
71,total_rev_hi_lim:30K-40K,-0.01105194987316275,0.7258825405233368,total_rev_hi_lim,-1.0423808570296051,-1.0,0.042380857029605146,-1.0
72,total_rev_hi_lim:40K-55K,0.04132104667957552,0.23077357810801324,total_rev_hi_lim,3.897255103898712,4.0,0.10274489610128779,4.0
73,total_rev_hi_lim:55K-95K,0.063422358062875,0.09999394765959559,total_rev_hi_lim,5.981772692703978,6.0,0.018227307296021955,6.0
74,total_rev_hi_lim:>95K,0.20220013792276068,0.0007614599821643197,total_rev_hi_lim,19.07080248085811,19.0,-0.07080248085810936,19.0
75,annual_inc:20K-30K,-0.06328174411938772,0.16857589061333678,annual_inc,-5.9685104824510615,-6.0,-0.03148951754893847,-6.0
76,annual_inc:30K-40K,-0.007194413697176434,0.8712086327710361,annual_inc,-0.6785516765415995,-1.0,-0.32144832345840046,-1.0
77,annual_inc:40K-50K,0.10738025929216287,0.015726067169303998,annual_inc,10.12772659970403,10.0,-0.12772659970402955,10.0
78,annual_inc:50K-60K,0.15116168029067004,0.0007886802313696598,annual_inc,14.257035514976723,14.0,-0.2570355149767227,14.0
79,annual_inc:60K-70K,0.23727704496854168,2.708393489549081e-07,annual_inc,22.37913239982702,22.0,-0.3791323998270215,22.0
80,annual_inc:70K-80K,0.29804961079999287,2.4310562737534586e-10,annual_inc,28.110986053009377,28.0,-0.11098605300937692,28.0
81,annual_inc:80K-90K,0.3842698586387624,4.726272283026971e-15,annual_inc,36.24297514696299,36.0,-0.2429751469629906,36.0
82,annual_inc:90K-100K,0.3983919038530644,3.878424769243772e-15,annual_inc,37.57491654756965,38.0,0.42508345243034995,38.0
83,annual_inc:100K-120K,0.4540925651060017,1.7864995097399575e-19,annual_inc,42.828406083831645,43.0,0.17159391616835507,43.0
84,annual_inc:120K-140K,0.545911695696178,8.986037547047438e-22,annual_inc,51.488462013755225,51.0,-0.4884620137552247,51.0
85,annual_inc:>140K,0.4692619377633038,6.83823195391019e-19,annual_inc,44.25912770785173,44.0,-0.2591277078517322,44.0
86,dti:<=1.4,0.24724837170533562,0.010026604668042801,dti,23.319592701303858,23.0,-0.31959270130385775,23.0
87,dti:1.4-3.5,0.3492116276307118,1.6788953983331034e-05,dti,32.936406685876065,33.0,0.06359331412393487,33.0
88,dti:3.5-7.7,0.3093962394204311,1.1918619189108234e-05,dti,29.1811599681562,29.0,-0.1811599681562015,29.0
89,dti:7.7-10.5,0.26101588814420623,0.00019640269414424933,dti,24.618096200633634,25.0,0.3819037993663663,25.0
90,dti:10.5-16.1,0.1861794853044521,0.006195766380185065,dti,17.55979113914026,18.0,0.440208860859741,18.0
91,dti:16.1-20.3,0.09777895025522812,0.15034481525513493,dti,9.222165060121869,9.0,-0.22216506012186876,9.0
92,dti:20.3-21.7,0.09321939375186757,0.186550991357182,dti,8.792123803131641,9.0,0.20787619686835868,9.0
93,dti:21.7-22.4,0.04048175960986898,0.5872295138557655,dti,3.8180965133282854,4.0,0.18190348667171463,4.0
94,dti:22.4-35,-0.0019909992366843087,0.9763588082421096,dti,-0.18778401227822122,-0.0,0.18778401227822122,-0.0
95,mths_since_last_delinq:Missing,0.04316351191169672,0.4867386228762195,mths_since_last_delinq,4.071029913750988,4.0,-0.071029913750988,4.0
96,mths_since_last_delinq:4-30,0.10619236401508045,0.06470522705513121,mths_since_last_delinq,10.015688514913816,10.0,-0.01568851491381551,10.0
97,mths_since_last_delinq:31-56,0.11002484606167266,0.08165943592259038,mths_since_last_delinq,10.377154678452806,10.0,-0.3771546784528059,10.0
98,mths_since_last_delinq:>=57,0.06905825473975653,0.28351014768924987,mths_since_last_delinq,6.51333055132616,7.0,0.4866694486738403,7.0
99,mths_since_last_record:Missing,0.37109540036555017,5.3310831049941214e-05,mths_since_last_record,35.00040679808921,35.0,-0.0004067980892088485,35.0
100,mths_since_last_record:3-20,0.3858597306660975,0.0034063726449884667,mths_since_last_record,36.392926258345184,36.0,-0.39292625834518446,36.0
101,mths_since_last_record:21-31,0.45166896091555125,0.00031661820562625345,mths_since_last_record,42.59982030103897,43.0,0.40017969896103267,43.0
102,mths_since_last_record:32-80,0.6160415310650595,1.6228303810885078e-10,mths_since_last_record,58.10286026330502,58.0,-0.1028602633050184,58.0
103,mths_since_last_record:81-86,0.2570330914486765,0.02331781285117424,mths_since_last_record,24.242452890583685,24.0,-0.24245289058368513,24.0
104,mths_since_last_record:>86,0.31891799179333485,0.0007666101728198735,mths_since_last_record,30.079218004321614,30.0,-0.07921800432161419,30.0
